epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.942,1.5422,4.26318,1.45041,0.02333,0.22984,0.06906,0.05882,1.38941,4.42512,1.39462,0.000156606,0.000156606,0.000156606
2,334.197,1.46278,3.46053,1.42821,0.62894,0.23221,0.14689,0.0865,1.45423,3.61945,1.46965,0.000299667,0.000299667,0.000299667
3,492.104,1.48897,2.91703,1.38754,0.6771,0.26684,0.15502,0.10429,1.56368,2.39335,1.58611,0.000427019,0.000427019,0.000427019
4,696.665,1.50019,2.66988,1.40068,0.69926,0.30565,0.19512,0.12804,1.54606,2.38561,1.52205,0.000405314,0.000405314,0.000405314
5,912.368,1.46026,2.49318,1.37361,0.75121,0.27921,0.25238,0.16363,1.55132,2.33077,1.50584,0.000381752,0.000381752,0.000381752
6,1068.88,1.44492,2.39807,1.3987,0.82395,0.27292,0.29767,0.19114,1.46813,2.1353,1.50113,0.00035819,0.00035819,0.00035819
7,1143.81,1.36694,2.22124,1.31447,0.83029,0.22952,0.30312,0.18647,1.44725,2.11749,1.4597,0.000334628,0.000334628,0.000334628
8,1219.9,1.30086,2.08539,1.30864,0.826,0.24697,0.3206,0.22341,1.48551,2.02094,1.46727,0.000311066,0.000311066,0.000311066
9,1298.45,1.31127,2.07812,1.27008,0.7965,0.33604,0.33398,0.23316,1.49792,2.00792,1.49264,0.000287504,0.000287504,0.000287504
10,1376.63,1.26142,1.96154,1.27794,0.94798,0.26821,0.39347,0.27624,1.4951,1.92663,1.49527,0.000263942,0.000263942,0.000263942
11,1460.78,1.25105,2.09307,1.24325,0.73261,0.29334,0.37104,0.25909,1.52518,1.98095,1.50998,0.00024038,0.00024038,0.00024038
12,1544.95,1.23564,1.9421,1.24118,0.65013,0.33965,0.37269,0.2452,1.47723,1.95613,1.49852,0.000216818,0.000216818,0.000216818
13,1624.38,1.20913,1.89621,1.2303,0.78007,0.3062,0.39502,0.24348,1.46257,1.92915,1.5075,0.000193256,0.000193256,0.000193256
14,1694.68,1.17717,1.87887,1.20401,0.82535,0.32764,0.41091,0.24121,1.44299,1.93632,1.47306,0.000169694,0.000169694,0.000169694
15,1765.15,1.10893,1.7753,1.16313,0.77114,0.35751,0.40254,0.23373,1.45717,1.93397,1.46332,0.000146132,0.000146132,0.000146132
16,1850.99,1.0735,1.70039,1.14682,0.77807,0.28576,0.36471,0.22618,1.47441,1.8811,1.45618,0.00012257,0.00012257,0.00012257
17,1937.78,1.07646,1.69503,1.16263,0.58111,0.3673,0.3662,0.24064,1.50243,1.88063,1.47399,9.9008e-05,9.9008e-05,9.9008e-05
18,2008.64,1.06003,1.64571,1.14914,0.58339,0.37268,0.36727,0.24988,1.49007,1.84882,1.4559,7.5446e-05,7.5446e-05,7.5446e-05
19,2065.89,1.05808,1.62067,1.14458,0.74702,0.30998,0.38008,0.24626,1.49898,1.831,1.46517,5.1884e-05,5.1884e-05,5.1884e-05
20,2125.1,1.01975,1.55214,1.13684,0.76386,0.32949,0.38868,0.24368,1.49145,1.82956,1.45386,2.8322e-05,2.8322e-05,2.8322e-05
